country_na,mean
Chad,338.30932816895233
Malawi,1198.7830159234259
Zambia,961.9736528666235
Zimbabwe,583.4078366598076
Botswana,212.89835459827816
Namibia,119.71064625373843
Angola,950.8606279939371
Burundi,1456.9019049237902
Rwanda,1147.3611154241482
South Africa,479.51206474913226
Lesotho,789.4322621742691
Swaziland,1207.0291519709622
Mayotte,1147.5729538718888
Niger,139.4668301747026
Sudan,237.99287071379396
Libya,42.822357525507236
Koualou Area,1011.92624841057
Tunisia,181.45039544104236
Egypt,26.359642057684987
Bir Tawil,0.7407396434470542
Halaib Triangle,19.37125603508195
Eritrea,384.05132924931655
Ethiopia,990.5334511727981
Djibouti,180.04548596141905
Somalia,490.4355809709406
South Sudan,1007.4207512825981
Abyei Area,766.1722646461978
Kenya,854.6597222511693
Uganda,1241.720397775789
Tanzania,1211.377328207023
Mozambique,1077.4391473660908
Comoros,2182.4647359633555
Madagascar,1465.9061625425322
Cabo Verde,153.69012623713996
Western Sahara,40.19328874028588
Mauritania,91.15839188805775
Morocco,214.753925854642
Spain (Canary Is),260.59349232980185
Portugal (Madeira Is),333.98573286234137
Spain (Africa),282.4675922274026
Algeria,70.41232360614052
Mali,310.1922600876021
Burkina Faso,790.5467104822906
Togo,1373.5669626066403
Ghana,1329.8442414101685
Cote d'Ivoire,1382.2987676005043
Guinea,1732.4793123836312
Senegal,678.5241063989756
"Gambia, The",817.1901888833441
Guinea-Bissau,1797.4458667240124
Sierra Leone,2825.2573893729714
Liberia,2417.2999542964103
Benin,1165.275221713148
Nigeria,1280.7141769749608
Cameroon,1698.1011606342022
Equatorial Guinea,1880.8496262450933
Sao Tome & Principe,2014.8037393402526
Gabon,1867.9356804730196
Rep of the Congo,1798.941068669036
Central African Rep,1533.880460443463
Dem Rep of the Congo,1615.9175671767036
