month,year,country_na,mean
1.0,2016.0,Ethiopia,5.0402738405971315
2.0,2016.0,Ethiopia,4.0877997617174335
3.0,2016.0,Ethiopia,5.781801412904164
4.0,2016.0,Ethiopia,12.471292941383359
5.0,2016.0,Ethiopia,14.288128247448489
6.0,2016.0,Ethiopia,10.386760929754454
7.0,2016.0,Ethiopia,12.908978557207183
8.0,2016.0,Ethiopia,13.338964828486251
9.0,2016.0,Ethiopia,11.548448100383977
10.0,2016.0,Ethiopia,10.965424798308222
11.0,2016.0,Ethiopia,8.005301457931516
12.0,2016.0,Ethiopia,5.592312583871207
1.0,2017.0,Ethiopia,3.4062818843579996
2.0,2017.0,Ethiopia,4.7480141023468425
3.0,2017.0,Ethiopia,5.256130887699489
4.0,2017.0,Ethiopia,8.189945443485652
5.0,2017.0,Ethiopia,13.448767303469918
6.0,2017.0,Ethiopia,10.46597161743013
7.0,2017.0,Ethiopia,12.178108049785681
8.0,2017.0,Ethiopia,13.68607234344698
9.0,2017.0,Ethiopia,13.862539285683761
10.0,2017.0,Ethiopia,13.140714372125553
11.0,2017.0,Ethiopia,10.059836083446667
12.0,2017.0,Ethiopia,4.830557716524684
1.0,2018.0,Ethiopia,3.6022296084697234
2.0,2018.0,Ethiopia,4.3337286384562885
3.0,2018.0,Ethiopia,7.202882499001088
4.0,2018.0,Ethiopia,14.052889306449439
5.0,2018.0,Ethiopia,13.105300468793478
6.0,2018.0,Ethiopia,13.185273080589576
7.0,2018.0,Ethiopia,13.717571466986165
8.0,2018.0,Ethiopia,14.449428412926116
9.0,2018.0,Ethiopia,13.448982575624367
10.0,2018.0,Ethiopia,12.449227306437477
11.0,2018.0,Ethiopia,10.624150109707097
12.0,2018.0,Ethiopia,6.740045133047643
1.0,2019.0,Ethiopia,4.224619153150398
2.0,2019.0,Ethiopia,3.894019255808833
3.0,2019.0,Ethiopia,5.114319179144635
4.0,2019.0,Ethiopia,8.893205942781279
5.0,2019.0,Ethiopia,12.140655204713823
6.0,2019.0,Ethiopia,14.098272732512292
7.0,2019.0,Ethiopia,14.810567491931774
8.0,2019.0,Ethiopia,14.619365135184198
9.0,2019.0,Ethiopia,14.347295247931145
10.0,2019.0,Ethiopia,17.09724481569907
11.0,2019.0,Ethiopia,13.83995501318809
12.0,2019.0,Ethiopia,10.199158934087357
1.0,2020.0,Ethiopia,6.286699842032334
2.0,2020.0,Ethiopia,5.441534977359096
3.0,2020.0,Ethiopia,7.178432597147289
4.0,2020.0,Ethiopia,11.484771372233002
5.0,2020.0,Ethiopia,13.707270193413862
6.0,2020.0,Ethiopia,12.347203943650365
7.0,2020.0,Ethiopia,14.711249156048222
8.0,2020.0,Ethiopia,15.888578876732879
9.0,2020.0,Ethiopia,14.2668042457591
10.0,2020.0,Ethiopia,13.387410124389156
11.0,2020.0,Ethiopia,9.751997387940177
12.0,2020.0,Ethiopia,6.163525850708786
1.0,2021.0,Ethiopia,4.2987430479650905
2.0,2021.0,Ethiopia,3.957731167344813
3.0,2021.0,Ethiopia,3.9817427203371447
4.0,2021.0,Ethiopia,8.358956426469767
5.0,2021.0,Ethiopia,13.257581551976129
6.0,2021.0,Ethiopia,9.02017238185749
7.0,2021.0,Ethiopia,12.728082503507636
8.0,2021.0,Ethiopia,13.86113148371364
9.0,2021.0,Ethiopia,13.557505457984474
10.0,2021.0,Ethiopia,12.152108449855692
11.0,2021.0,Ethiopia,8.789601410694933
12.0,2021.0,Ethiopia,5.8361950634636255
